chrom	chromStart	chromEnd	name	trait	genes	orOrBeta	pValue
chr6_mann_hap4	4024773	4024774	rs615672	Rheumatoid arthritis	HLA-DRB1	NR	8E-27
chr6_mann_hap4	4027090	4027091	rs9271100	Systemic lupus erythematosus	HLA-DRB1	1.90	1E-12
chr6_mann_hap4	4027990	4027991	rs660895	IgA nephropathy	HLA-DRB1	1.34	4E-20
chr6_mann_hap4	4027990	4027991	rs660895	Rheumatoid arthritis	HLA-DRB1	3.62	1E-108
chr6_mann_hap4	4028691	4028692	rs674313	Chronic lymphocytic leukemia	HLA-DRB5	1.69	7E-9
chr6_mann_hap4	4037109	4037110	rs9271366	Inflammatory bowel disease	MHC	1.79	8E-11
chr6_mann_hap4	4037109	4037110	rs9271366	Inflammatory bowel disease	MHC	2.41	3E-31
chr6_mann_hap4	4037109	4037110	rs9271366	Inflammatory bowel disease	MHC	4.44	2E-70
chr6_mann_hap4	4037109	4037110	rs9271366	Immunoglobulin A	HLA-DRB1	7.69	3E-33
chr6_mann_hap4	4037109	4037110	rs9271366	Multiple sclerosis	DQA1	2.62	4E-17
chr6_mann_hap4	4037109	4037110	rs9271366	Multiple sclerosis	HLA-DRB1	2.78	7E-184
chr6_mann_hap4	4047224	4047225	rs3129763	Systemic sclerosis	HLA-DQA1, HLA-DRB1	1.65	1E-11
chr6_mann_hap4	4048893	4048894	rs28421666	Nasopharyngeal carcinoma	HLA-DQ,HLA-DR	1.49	2E-18
chr6_mann_hap4	4056153	4056154	rs9272105	Hepatocellular carcinoma	HLA-DQA1, HLA-DRB1	1.28	5E-22
chr6_mann_hap4	4056153	4056154	rs9272105	Response to interferon beta therapy	HLA-DQA1, HLA-DRB1	.26	4E-10
chr6_mann_hap4	4058424	4058425	rs9272219	Rheumatoid arthritis	HLA-DQA1	1.92	1E-45
chr6_mann_hap4	4058424	4058425	rs9272219	Schizophrenia	HLA-DQA1	1.14	7E-8
chr6_mann_hap4	4059162	4059163	rs2040406	Multiple sclerosis	HLA-DRB,HLA-DQB1	2.05	1E-20
chr6_mann_hap4	4060527	4060528	rs9272346	Type 1 diabetes	HLA	NR	6E-129
chr6_mann_hap4	4060527	4060528	rs9272346	Type 1 diabetes	MHC	5.49	5E-134
chr6_mann_hap4	4062043	4062044	rs2187668	Systemic lupus erythematosus	HLA-DR3	2.23	6E-28
chr6_mann_hap4	4062043	4062044	rs2187668	Nephropathy (idiopathic membranous)	HLA-DQA1	4.32	8E-93
chr6_mann_hap4	4062043	4062044	rs2187668	Immunoglobulin A	HLA-DRB1	2.53	2E-33
chr6_mann_hap4	4062043	4062044	rs2187668	Celiac disease	HLA-DQA1, HLA-DQB1	6.23	1E-50
chr6_mann_hap4	4062043	4062044	rs2187668	Systemic lupus erythematosus	HLA-DQA1	NR	3E-21
chr6_mann_hap4	4062043	4062044	rs2187668	Celiac disease	HLA-DQA1	7.04	1E-19
chr6_mann_hap4	4062890	4062891	rs9272535	Chronic lymphocytic leukemia	HLA-DQA1	1.61	9E-8
chr6_mann_hap4	4078943	4078944	rs9273349	Asthma	HLA-DQ	1.18	7E-14
chr6_mann_hap4	4088492	4088493	rs9274407	Drug-induced liver injury (amoxicillin-clavulanate)	HLA-DRB1-DQB1	3.10	5E-14
chr6_mann_hap4	4112593	4112594	rs2856683	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	7E-10
chr6_mann_hap4	4112593	4112594	rs2856683	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	1E-10
chr6_mann_hap4	4114966	4114967	rs7774434	Primary biliary cirrhosis	MHC	1.60	4E-34
chr6_mann_hap4	4114966	4114967	rs7774434	Primary biliary cirrhosis	HLA-DQB1	1.75	3E-26
chr6_mann_hap4	4115784	4115785	rs7775228	IgE grass sensitization	HLA region	1.33	2E-9
chr6_mann_hap4	4115784	4115785	rs7775228	Asthma	HLA-DQB1	1.17	5E-15
chr6_mann_hap4	4116015	4116016	rs9469220	Crohn's disease	NR	1.14	2E-6
chr6_mann_hap4	4121319	4121320	rs3129720	Hypothyroidism	HLA-DRB9, HLA-DRB5, HLA-DRB1, HLA-DQA1, HLA-DQB1, HLA-DQA2	1.16	5E-7
chr6_mann_hap4	4121540	4121541	rs6457617	Graves' disease	HLA, DRB1, DQA1, DQB1	1.40	7E-33
chr6_mann_hap4	4121540	4121541	rs6457617	Systemic sclerosis	HLA, DQB1	1.61	2E-37
chr6_mann_hap4	4121540	4121541	rs6457617	Systemic sclerosis	HLA-DQB1	1.37	4E-17
chr6_mann_hap4	4121540	4121541	rs6457617	Rheumatoid arthritis	HLA-DQA1, HLA-DQA2	NR	1E-9
chr6_mann_hap4	4121540	4121541	rs6457617	Rheumatoid arthritis	MHC	2.36	5E-75
chr6_mann_hap4	4121688	4121689	rs6457620	Height	HLA locus	.03	2E-16
chr6_mann_hap4	4121688	4121689	rs6457620	Rheumatoid arthritis	HLA-DRB1	2.55	4E-186
chr6_mann_hap4	4122147	4122148	rs2647012	Follicular lymphoma	HLA-DQB1	1.56	2E-21
chr6_mann_hap4	4122147	4122148	rs2647012	Systemic lupus erythematosus	HLA-DQA1, HLA-DQA2	1.38	8E-6
chr6_mann_hap4	4122649	4122650	rs9357152	HPV seropositivity	HLA-DQB1	NR	1E-14
chr6_mann_hap4	4122649	4122650	rs9357152	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	7E-10
chr6_mann_hap4	4122649	4122650	rs9357152	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	1E-10
chr6_mann_hap4	4123109	4123110	rs10484561	Follicular lymphoma	HLA-DQB1	1.95	1E-29
chr6_mann_hap4	4125578	4125579	rs2647044	Pulmonary function	HLA-DQB1	.04	6E-6
chr6_mann_hap4	4125578	4125579	rs2647044	Type 1 diabetes	HLA-DRB1	8.30	1E-16
chr6_mann_hap4	4126826	4126827	rs9275390	Systemic sclerosis	HLA-DQB1	1.61	1E-7
chr6_mann_hap4	4126826	4126827	rs9275390	Systemic sclerosis	HLA-DQB1	2.38	3E-54
chr6_mann_hap4	4127043	4127044	rs11752643	Coronary heart disease	HLA, DRB-DQB	1.26	5E-7
chr6_mann_hap4	4127917	4127918	rs2856718	Hepatitis B	HLA-DQB1	1.56	4E-37
chr6_mann_hap4	4128765	4128766	rs13192471	Rheumatoid arthritis	HLA-DRB1	1.97	2E-58
chr6_mann_hap4	4128910	4128911	rs1794275	IgA nephropathy	HLA-DQA/B	1.30	3E-13
chr6_mann_hap4	4136139	4136140	rs9275572	Hepatocellular carcinoma	HLA-DQ, HLA-DR	1.30	6E-9
chr6_mann_hap4	4136139	4136140	rs9275572	Alopecia areata	HLA-DQA2	2.21	1E-35
chr6_mann_hap4	4138073	4138074	rs7765379	Rheumatoid arthritis	HLA-DRB1	2.51	5E-23
chr6_mann_hap4	4138073	4138074	rs7765379	Rheumatoid arthritis	HLA-DRB1	2.51	5E-23
chr6_mann_hap4	4138422	4138423	rs2858331	IgE levels	HLA-DQA2	.04	1E-8
chr6_mann_hap4	4138776	4138777	rs9275596	Nephropathy	HLA-DRB1, HLA-DQA1, HLA-DQB1	1.59	2E-26
chr6_mann_hap4	4138821	4138822	rs3104402	Immune response to anthrax vaccine	HLA-DRB1,HLA-DQA1	.17	6E-6
chr6_mann_hap4	4142695	4142696	rs3916765	Type 2 diabetes	HLA-DQA2	1.21	1E-6
chr6_mann_hap4	4145100	4145101	rs9275698	Asthma	HLA-DQA2	1.18	5E-12
chr6_mann_hap4	4157230	4157231	rs2858884	Narcolepsy	HLA-DQA2	1.79	3E-8
chr6_mann_hap4	4182389	4182390	rs2301271	Systemic lupus erythematosus	HLA-DQA2	1.47	2E-12
chr6_mann_hap4	4187209	4187210	rs7453920	Hepatitis B	HAL-DQB2	1.81	6E-28
chr6_mann_hap4	4187283	4187284	rs2051549	Systemic lupus erythematosus	HLA-DQA2	NR	3E-22
chr6_mann_hap4	4193887	4193888	rs9276606	Complement C3 and C4 levels	HLA-DQB	.09	3E-22
chr6_mann_hap4	4220706	4220707	rs2857151	Kawasaki disease	HLA-DQB2, HLA-DOB	1.47	5E-11
chr6_mann_hap4	4261264	4261265	rs241428	Complement C3 and C4 levels	HLA-DQB	.23	9E-83
chr6_mann_hap4	4267043	4267044	rs9357155	Nephropathy	TAP2, TAP1, PSMB8, PSMB9	1.41	2E-12
chr6_mann_hap4	4309842	4309843	rs2187689	Disc degeneration (lumbar)	PSMB9	.23	3E-8
chr6_mann_hap4	4311888	4311889	rs10046257	Disc degeneration (lumbar)	Intergenic	.19	3E-7
chr6_mann_hap4	4312908	4312909	rs6457690	Disc degeneration (lumbar)	Intergenic	.19	9E-8
chr6_mann_hap4	4313572	4313573	rs1029296	Disc degeneration (lumbar)	Intergenic	.19	9E-8
chr6_mann_hap4	4313673	4313674	rs1029295	Disc degeneration (lumbar)	Intergenic	.19	5E-7
chr6_mann_hap4	4314125	4314126	rs6936004	Disc degeneration (lumbar)	Intergenic	.19	1E-7
chr6_mann_hap4	4314610	4314611	rs10214886	Disc degeneration (lumbar)	Intergenic	.19	2E-7
chr6_mann_hap4	4316903	4316904	rs7744666	Disc degeneration (lumbar)	Intergenic	.20	6E-8
chr6_mann_hap4	4316939	4316940	rs11969002	Disc degeneration (lumbar)	Intergenic	.20	6E-8
chr6_mann_hap4	4317943	4317944	rs9469300	Disc degeneration (lumbar)	Intergenic	.19	1E-7
chr6_mann_hap4	4319798	4319799	rs3749982	Disc degeneration (lumbar)	Intergenic	.19	1E-7
chr6_mann_hap4	4418580	4418581	rs9500927	Asthma	HLA-DOA	1.13	4E-9
chr6_mann_hap4	4432204	4432205	rs399604	Platelet counts	HLA-DOA	2.35	1E-10
chr6_mann_hap4	4490561	4490562	rs3077	Hepatitis B (viral clearance)	HLA-DPA1	1.82	4E-45
chr6_mann_hap4	4490561	4490562	rs3077	Hepatitis B (viral clearance)	HLA-DPA1	1.67	1E-9
chr6_mann_hap4	4490561	4490562	rs3077	Hepatitis B	HLA-DPA1	1.87	2E-61
chr6_mann_hap4	4500419	4500420	rs987870	Asthma	HLA, DPB1	1.40	2E-10
chr6_mann_hap4	4500419	4500420	rs987870	Systemic sclerosis	HLA-DPA1, HLA-DPB1	2.09	2E-20
chr6_mann_hap4	4512406	4512407	rs9277535	Hepatitis B (viral clearance)	HLA-DPB1	1.64	2E-21
chr6_mann_hap4	4512406	4512407	rs9277535	Hepatitis B (viral clearance)	HLA-DPB1	1.52	2E-17
chr6_mann_hap4	4512406	4512407	rs9277535	Hepatitis B vaccine response	HLA-DPB1	1.39	3E-12
chr6_mann_hap4	4512406	4512407	rs9277535	Hepatitis B	HLA-DPB1	1.77	3E-54
chr6_mann_hap4	4512406	4512407	rs9277535	Hepatitis B	HLA-DPB1	1.75	6E-39
chr6_mann_hap4	4517663	4517664	rs2281388	Graves' disease	HLA, DPB1	1.64	2E-65
chr6_mann_hap4	4527438	4527439	rs3117242	Antineutrophil cytoplasmic antibody-associated vasculitis	HLA-DP, COL11A2	3.67	1E-71
chr6_mann_hap4	4543833	4543834	rs3117035	RR interval (heart rate)	Intergenic	.14	1E-6
chr6_mann_hap4	4544032	4544033	rs1883414	Nephropathy	HLA-DPA1, HLA-DPB1, HLA-DPB2	1.28	5E-9
chr6_mann_hap4	4601263	4601264	rs2254287	LDL cholesterol	B3GALT4	1.91	5E-8
chr6_mcf_hap5	79517	79518	rs4324798	Lung adenocarcinoma	TRNAA-UGC	1.16	2E-8
chr6_mcf_hap5	219807	219808	rs4947339	Platelet aggregation	TRIM27	NR	2E-6
chr6_mcf_hap5	658521	658522	rs3094548	Pulmonary function	OR12D2	.03	1E-7
chr6_mcf_hap5	659650	659651	rs9257809	Barrett's esophagus	MHC, OR2D12, OR2D13	1.21	4E-9
chr6_mcf_hap5	737595	737596	rs4713226	Immune reponse to smallpox (secreted IFN-alpha)	OR2H1	NR	2E-8
chr6_mcf_hap5	914630	914631	rs29232	Nasopharyngeal carcinoma	GABBR1	1.67	9E-17
chr6_mcf_hap5	973425	973426	rs3129055	Nasopharyngeal carcinoma	HLA-F	1.51	7E-11
chr6_mcf_hap5	1023689	1023690	rs9258260	Crohn's disease	HLA-F, MOG, HLA-G, GABBR1, HLA-H, UBD, HLA-A	1.45	2E-10
chr6_mcf_hap5	1089449	1089450	rs1610677	Rheumatoid arthritis	HLA-G	1.32	4E-15
chr6_mcf_hap5	1128898	1128899	rs2523822	Drug-induced liver injury (amoxicillin-clavulanate)	HLA-A	2.30	2E-10
chr6_mcf_hap5	1144256	1144257	rs2523809	IgE levels	HLA-G	.06	4E-8
chr6_mcf_hap5	1295200	1295201	rs1061235	Adverse response to carbamapezine	HLA-A*3101	9.12	1E-7
chr6_mcf_hap5	1300011	1300012	rs2517713	Nasopharyngeal carcinoma	HLA-A	1.88	4E-20
chr6_mcf_hap5	1302245	1302246	rs9260489	Multiple sclerosis	HLA-B	1.21	1E-11
chr6_mcf_hap5	1305733	1305734	rs2571391	IgE levels	HLA-A	.06	1E-15
chr6_mcf_hap5	1317113	1317114	rs3893464	Graves' disease	MHC	1.53	2E-20
chr6_mcf_hap5	1323797	1323798	rs2523946	IgA nephropathy	HLA-A	1.21	2E-11
chr6_mcf_hap5	1324927	1324928	rs6904029	Vitiligo	HLA-A,HCG9	1.49	1E-21
chr6_mcf_hap5	1352452	1352453	rs7758512	HIV-1 control	ZNRD1, RNF39, HLA-A	NR	2E-8
chr6_mcf_hap5	1355788	1355789	rs4313034	Graves' disease	MHC	1.67	2E-15
chr6_mcf_hap5	1398963	1398964	rs6917603	Lipid metabolism phenotypes	PPP1R11	.24	3E-29
chr6_mcf_hap5	1407403	1407404	rs259919	HIV-1 control	C6orf12, ZNRD1	NR	3E-7
chr6_mcf_hap5	1414419	1414420	rs8321	AIDS progression	ZNRD1, RNF39	NR	5E-7
chr6_mcf_hap5	1462249	1462250	rs34704616	Cognitive performance	XXbac-BPG250I8.13	NR	6E-6
chr6_mcf_hap5	1475248	1475249	rs10947055	Cardiac hypertrophy	TRIM38	NR	2E-7
chr6_mcf_hap5	1501772	1501773	rs9468692	HIV-1 control	TRIM10	NR	1E-6
chr6_mcf_hap5	1547107	1547108	rs2523722	Schizophrenia	MHC, TRIM26	1.25	1E-16
chr6_mcf_hap5	1555966	1555967	rs2021722	Schizophrenia	TRIM26	1.15	2E-12
chr6_mcf_hap5	1919459	1919460	rs3132613	Graves' disease	MHC	1.43	1E-13
chr6_mcf_hap5	2230209	2230210	rs7756521	HIV-1 control	DDR1, VARS2, DPCR1	NR	1E-6
chr6_mcf_hap5	2258106	2258107	rs1052693	Complement C3 and C4 levels	HLA-A	.10	3E-48
chr6_mcf_hap5	2384562	2384563	rs4248154	Graves' disease	MHC	1.38	1E-13
chr6_mcf_hap5	2388801	2388802	rs2844665	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	C6orf205	1.54	3E-7
chr6_mcf_hap5	2400354	2400355	rs2517532	Hypothyroidism	LOC729792, HCG22, C6orf15, HLA-C, HLA-B, DHFRP2, HCP5	1.16	1E-8
chr6_mcf_hap5	2406731	2406732	rs9262632	HIV-1 control	Intergenic	3.10	1E-8
chr6_mcf_hap5	2440099	2440100	rs4947296	Behcet's disease	HCG22	2.57	1E-11
chr6_mcf_hap5	2440099	2440100	rs4947296	Graves' disease	MUC21, C6orf15	1.77	4E-51
chr6_mcf_hap5	2440261	2440262	rs3130544	Myasthenia gravis	NR	5.64	2E-90
chr6_mcf_hap5	2455954	2455955	rs6457327	Follicular lymphoma	C6orf15	1.47	7E-6
chr6_mcf_hap5	2455954	2455955	rs6457327	Follicular lymphoma	STG, PSORS1	1.69	5E-11
chr6_mcf_hap5	2475509	2475510	rs3815087	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	PSORS1C1	1.53	3E-7
chr6_mcf_hap5	2475509	2475510	rs3815087	HIV-1 control	CDSN	NR	8E-8
chr6_mcf_hap5	2479244	2479245	rs3130559	Chronic obstructive pulmonary disease-related biomarkers	PSORS1C1	NR	8E-9
chr6_mcf_hap5	2481520	2481521	rs4959053	Behcet's disease	PSORS1C1	4.38	2E-20
chr6_mcf_hap5	2488212	2488213	rs3130573	Systemic sclerosis	PSORS1C1	1.25	6E-10
chr6_mcf_hap5	2489131	2489132	rs1265093	Chronic obstructive pulmonary disease-related biomarkers	PSORS1C1, CCHCR1	NR	6E-9
chr6_mcf_hap5	2493291	2493292	rs9263739	Ulcerative colitis	HLA	2.73	4E-67
chr6_mcf_hap5	2499947	2499948	rs1265112	Nevirapine-induced rash	CCHCR1	4.36	1E-8
chr6_mcf_hap5	2500439	2500440	rs130067	Prostate cancer	CCHCR1	1.05	3E-8
chr6_mcf_hap5	2518390	2518391	rs3130501	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	POU5F1	1.74	2E-8
chr6_mcf_hap5	2521392	2521393	rs879882	Height	MICA	NR	2E-7
chr6_mcf_hap5	2525522	2525523	rs3131018	HIV-1 control	PSORS1C3	2.10	4E-16
chr6_mcf_hap5	2537739	2537740	rs1265181	Psoriasis	MHC	22.62	NS
chr6_mcf_hap5	2549999	2550000	rs6903896	Common traits (Other)	NR	NR	6E-7
chr6_mcf_hap5	2566224	2566225	rs3869109	Coronary heart disease	HCG27, HLA-C	1.14	1E-9
chr6_mcf_hap5	2602203	2602204	rs3095254	White blood cell types	MHC	.07	6E-11
chr6_mcf_hap5	2620952	2620953	rs2074488	Chronic obstructive pulmonary disease-related biomarkers	HLA-C	NR	2E-10
chr6_mcf_hap5	2621630	2621631	rs13191343	Psoriatic arthritis	HLA-C	2.37	2E-72
chr6_mcf_hap5	2632888	2632889	rs2524054	CD4:CD8 lymphocyte ratio	HLA-B	.31	6E-21
chr6_mcf_hap5	2632888	2632889	rs2524054	CD4:CD8 lymphocyte ratio	HLA-B	.37	2E-28
chr6_mcf_hap5	2633417	2633418	rs12191877	Psoriasis	HLA-C	2.79	4E-32
chr6_mcf_hap5	2633417	2633418	rs12191877	Psoriasis	HLA-C	2.64	1E-100
chr6_mcf_hap5	2639328	2639329	rs9468925	Vitiligo	HLA	1.35	2E-33
chr6_mcf_hap5	2644246	2644247	rs2894207	Nasopharyngeal carcinoma	HLA-B,HLA-C	1.64	3E-33
chr6_mcf_hap5	2645994	2645995	rs2247056	Triglycerides	HLA	2.99	2E-15
chr6_mcf_hap5	2652210	2652211	rs9461688	Protein quantitative trait loci	HLA-C	NR	4E-6
chr6_mcf_hap5	2652815	2652816	rs9368677	Atopic dermatitis	HLA-C	1.36	1E-17
chr6_mcf_hap5	2654874	2654875	rs9264942	HIV-1 control	HLA-C	2.90	3E-35
chr6_mcf_hap5	2654874	2654875	rs9264942	HIV-1 control	HLA-C	5.30	6E-32
chr6_mcf_hap5	2654874	2654875	rs9264942	HIV-1 control	HLA-C	NR	6E-12
chr6_mcf_hap5	2655068	2655069	rs10484554	Psoriasis	HLA-C	4.66	4E-214
chr6_mcf_hap5	2655068	2655069	rs10484554	AIDS progression	HLA-C	NR	6E-8
chr6_mcf_hap5	2655068	2655069	rs10484554	Psoriasis	HLA-C	2.80	2E-39
chr6_mcf_hap5	2692065	2692066	rs3134792	Psoriasis	HLA-C	NR	1E-9
chr6_mcf_hap5	2702146	2702147	rs3819299	Platelet counts	HLA-B	5.05	9E-10
chr6_mcf_hap5	2702338	2702339	rs2523608	HIV-1 control	HLA-B	2.60	9E-20
chr6_mcf_hap5	2702338	2702339	rs2523608	HIV-1 control	HLA-B	NR	3E-6
chr6_mcf_hap5	2706855	2706856	rs2523590	HIV-1 control	HLA-B	2.40	2E-13
chr6_mcf_hap5	2707492	2707493	rs9378249	Bipolar disorder	NR	NR	1E-8
chr6_mcf_hap5	2820448	2820449	rs3828890	Renal function-related traits (sCR)	MHC	.01	3E-9
chr6_mcf_hap5	2820448	2820449	rs3828890	Renal function-related traits (eGRFcrea)	MHC	.01	1E-9
chr6_mcf_hap5	2826579	2826580	rs2248462	Hodgkin's lymphoma	MICB	1.64	7E-16
chr6_mcf_hap5	2828759	2828760	rs3099844	Metabolic syndrome	HCG26, MICB	.15	2E-8
chr6_mcf_hap5	2828759	2828760	rs3099844	Neonatal lupus	TNF,NFKBIL1,LTA,LTB,AIF1	3.34	5E-10
chr6_mcf_hap5	2852476	2852477	rs2855812	Pulmonary function	MICB	.03	2E-7
chr6_mcf_hap5	2855242	2855243	rs3132468	Dengue shock syndrome	MICB	1.34	4E-11
chr6_mcf_hap5	2861055	2861056	rs2516399	White blood cell types	MHC	.11	2E-12
chr6_mcf_hap5	2879352	2879353	rs3853601	Atopic dermatitis	BAT1	1.13	2E-6
chr6_mcf_hap5	2885229	2885230	rs2734583	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	BAT1, HCP5, MICC, PPIAP9, PSORS1C1, POLR2LP, CCHCR1, TCF19, POU5F1, HLA-C, HCP5, PSORS1C3, HLA-B*5801	66.80	2E-8
chr6_mcf_hap5	2922013	2922014	rs1799964	Crohn's disease	LTA,HLA-DQA2,TNF,LST1,LTB	1.19	4E-11
chr6_mcf_hap5	2937491	2937492	rs11575839	Complement C3 and C4 levels	HLA-C	.23	1E-54
chr6_mcf_hap5	2982654	2982655	rs1046089	Menopause (age at onset)	PRRC2A	.21	2E-16
chr6_mcf_hap5	2996039	2996040	rs805303	Systolic blood pressure	BAT2, BAT5	.38	2E-11
chr6_mcf_hap5	2996039	2996040	rs805303	Hypertension	BAT2, BAT5	.05	1E-10
chr6_mcf_hap5	2996039	2996040	rs805303	Diastolic blood pressure	BAT2, BAT5	.23	3E-11
chr6_mcf_hap5	3000199	3000200	rs3117582	Lung adenocarcinoma	BAT3, APOM	1.22	5E-12
chr6_mcf_hap5	3000199	3000200	rs3117582	Lung cancer	BAT3	1.24	4E-10
chr6_mcf_hap5	3000199	3000200	rs3117582	Lung cancer	BAT3,MSH5	1.24	5E-10
chr6_mcf_hap5	3002285	3002286	rs805297	Rheumatoid arthritis	APOM	1.56	3E-10
chr6_mcf_hap5	3100721	3100722	rs3131379	Systemic lupus erythematosus	HLA region	2.36	2E-52
chr6_mcf_hap5	3216939	3216940	rs11966200	Vitiligo	HLA-C,HLA-B	1.90	1E-48
chr6_mcf_hap5	3218584	3218585	rs494620	Menopause (age at onset)	NR	.30	5E-7
chr6_mcf_hap5	3223796	3223797	rs2736428	Telomere length	SLC44A4	.05	3E-6
chr6_mcf_hap5	3247135	3247136	rs9267663	Economic and political preferences (environmentalism)	EHMT2	.29	6E-6
chr6_mcf_hap5	3250738	3250739	rs9267665	Hepatitis B vaccine response	HLA	2.05	1E-17
chr6_mcf_hap5	3263572	3263573	rs9267673	Hepatocellular carcinoma	C2	1.97	2E-6
chr6_mcf_hap5	3283647	3283648	rs9332739	Age-related macular degeneration (GA)	C2	2.63	1E-6
chr6_mcf_hap5	3283647	3283648	rs9332739	Age-related macular degeneration (CNV)	C2	2.08	2E-8
chr6_mcf_hap5	3283647	3283648	rs9332739	Age-related macular degeneration	C2	2.17	2E-23
chr6_mcf_hap5	3285852	3285853	rs9380272	Age-related macular degeneration	C2,CFB	4.31	2E-8
chr6_mcf_hap5	3294023	3294024	rs641153	Age-related macular degeneration (GA)	CFB	2.13	2E-9
chr6_mcf_hap5	3294023	3294024	rs641153	Age-related macular degeneration (CNV)	CFB	2.22	1E-17
chr6_mcf_hap5	3294023	3294024	rs641153	Age-related macular degeneration	CFB	1.85	6E-31
chr6_mcf_hap5	3294023	3294024	rs641153	Age-related macular degeneration	CFB,C2	NR	2E-20
chr6_mcf_hap5	3296794	3296795	rs541862	Age-related macular degeneration	CFB	1.89	9E-17
chr6_mcf_hap5	3310305	3310306	rs429608	Age-related macular degeneration	SKIV2L,BF	1.85	5E-15
chr6_mcf_hap5	3310305	3310306	rs429608	Age-related macular degeneration	C2,CFB	2.16	3E-21
chr6_mcf_hap5	3399586	3399587	rs2857009	Complement C3 and C4 levels	C4	.08	1E-22
chr6_mcf_hap5	3406648	3406649	rs12198173	HIV-1 control	TNXB	NR	3E-6
chr6_mcf_hap5	3429905	3429906	rs185819	Height	HLA class III	5.20	3E-8
chr6_mcf_hap5	3430596	3430597	rs1150754	Systemic lupus erythematosus	TNXB	2.21	6E-29
chr6_mcf_hap5	3450843	3450844	rs3117181	Phospholipid levels (plasma)	TNXB	.02	5E-7
chr6_mcf_hap5	3454631	3454632	rs12153855	Age-related macular degeneration	TNXB	1.44	1E-9
chr6_mcf_hap5	3456326	3456327	rs2269426	Eosinophil counts	MHC	4.60	3E-6
chr6_mcf_hap5	3489802	3489803	rs204999	Serum total protein level	Intergenic	.03	4E-11
chr6_mcf_hap5	3489802	3489803	rs204999	Serum total protein level	Intergenic	.03	3E-9
chr6_mcf_hap5	3489802	3489803	rs204999	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	2.50	8E-18
chr6_mcf_hap5	3489802	3489803	rs204999	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	1.70	2E-7
chr6_mcf_hap5	3516375	3516376	rs1061808	Phospholipid levels (plasma)	AGPAT1	.90	8E-10
chr6_mcf_hap5	3531269	3531270	rs2070600	Pulmonary function	AGER, PPT2	1.00	3E-14
chr6_mcf_hap5	3531269	3531270	rs2070600	Pulmonary function	AGER	.09	3E-15
chr6_mcf_hap5	3535404	3535405	rs204993	Asthma	PBX2	1.17	2E-15
chr6_mcf_hap5	3538142	3538143	rs176095	Atopic dermatitis	GPSM3	1.40	8E-20
chr6_mcf_hap5	3545267	3545268	rs2071278	Complement C3 and C4 levels	HLA-DRA	.13	4E-72
chr6_mcf_hap5	3551516	3551517	rs2071277	Age-related macular degeneration	NOTCH4	1.30	2E-11
chr6_mcf_hap5	3552826	3552827	rs3131296	Schizophrenia	MHC, NOTCH4	1.19	2E-10
chr6_mcf_hap5	3564194	3564195	rs404860	Asthma	NOTCH4	1.21	4E-23
chr6_mcf_hap5	3570252	3570253	rs443198	Systemic sclerosis	NOTCH4	1.82	9E-21
chr6_mcf_hap5	3598689	3598690	rs3115573	Nephropathy	Intergenic	1.62	1E-9
chr6_mcf_hap5	3598835	3598836	rs9296015	Systemic sclerosis	NOTCH4	1.85	1E-8
chr6_mcf_hap5	3598835	3598836	rs9296015	Rheumatoid arthritis	HLA locus	NR	2E-38
chr6_mcf_hap5	3662754	3662755	rs6910071	Rheumatoid arthritis	HLA-DRB1	2.88	1E-299
chr6_mcf_hap5	3685891	3685892	rs3129900	Lumiracoxib-related liver injury	HLA-DRB1	7.50	7E-25
chr6_mcf_hap5	3688822	3688823	rs9469099	Atopic dermatitis	C6orf10	1.61	5E-19
chr6_mcf_hap5	3701111	3701112	rs2395148	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	7E-10
chr6_mcf_hap5	3701111	3701112	rs2395148	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	1E-10
chr6_mcf_hap5	3701111	3701112	rs2395148	Arthritis (juvenile idiopathic)	HLA-DRB1	5.37	2E-10
chr6_mcf_hap5	3704928	3704929	rs13196329	Visceral fat	C6orf10	NR	3E-6
chr6_mcf_hap5	3715760	3715761	rs3129934	Multiple sclerosis	C6orf10	2.34	7E-16
chr6_mcf_hap5	3715760	3715761	rs3129934	Multiple sclerosis	HLA-DRB1	3.30	9E-11
chr6_mcf_hap5	3717205	3717206	rs2273017	Graves' disease	MHC	1.53	2E-22
chr6_mcf_hap5	3718280	3718281	rs3129943	Asthma	C6orf10	1.17	3E-15
chr6_mcf_hap5	3718660	3718661	rs2050190	Activated partial thromboplastin time	C6orf10	.25	7E-7
chr6_mcf_hap5	3720937	3720938	rs9268402	Coronary heart disease	C6orf10, BTNL2	1.16	3E-15
